crime_id,latitude,longitude,district,area_name,road_name,crime_type,crime_severity,crime_date,crime_time,victim_gender,police_station,risk_score
C00019,28.508919,77.206861,South Delhi,Saket,Saket District Centre Road,Snatching,3,2024-09-12,02:59:31,Female,Saket Police Station,70
C00020,28.55197,77.206125,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Harassment,2,2024-07-27,17:19:32,Female,Police Station Malviya Nagar,16
C00021,28.526398,77.202753,South Delhi,Saket,Press Enclave Marg,Burglary,3,2024-12-29,19:44:08,Female,Police Station Malviya Nagar,55
C00022,28.507806,77.194889,South Delhi,Saket,Saket District Centre Road,Chain Snatching,3,2025-06-08,22:17:37,Male,Saket Police Station,90
C00023,28.560289,77.209613,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2024-07-13,13:39:07,Male,Police Station Malviya Nagar,41
C00024,28.561158,77.250468,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Harassment,2,2024-11-10,14:22:01,Female,Police Station Malviya Nagar,30
C00025,28.552322,77.193573,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-08-24,14:49:41,Male,Police Station Malviya Nagar,31
C00026,28.551608,77.204631,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2025-06-17,10:38:28,Male,Police Station Malviya Nagar,31
C00027,28.529429,77.201673,South Delhi,Saket,Press Enclave Marg,Burglary,3,2024-12-10,22:52:17,Male,Police Station Malviya Nagar,55
C00028,28.545105,77.192635,South Delhi,Hauz Khas,Sri Aurobindo Marg,Robbery,4,2025-04-18,14:06:19,Male,Police Station Malviya Nagar,61
C00029,28.52904,77.198768,South Delhi,Saket,Saket District Centre Road,Vehicle Theft,2,2024-12-29,17:43:19,Female,Police Station Malviya Nagar,30
C00030,28.574612,77.235209,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Assault,4,2025-05-12,21:42:18,Male,Police Station Malviya Nagar,70
C00031,28.518577,77.20414,South Delhi,Saket,Saket District Centre Road,Snatching,3,2024-12-23,19:42:42,Male,Saket Police Station,55
C00032,28.541518,77.206749,South Delhi,Hauz Khas,Sri Aurobindo Marg,Theft,2,2025-04-25,22:10:59,Female,Police Station Malviya Nagar,41
C00033,28.567989,77.24104,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Chain Snatching,3,2024-08-19,10:04:42,Female,Police Station Malviya Nagar,30
C00034,28.566006,77.244896,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Assault,4,2025-04-23,03:25:08,Male,Police Station Malviya Nagar,70
C00035,28.524002,77.209012,South Delhi,Saket,Press Enclave Marg,Theft,2,2024-12-31,18:36:37,Female,Saket Police Station,15
C00036,28.572388,77.256732,South Delhi,Lajpat Nagar,Ring Road,Assault,4,2024-12-09,08:21:09,Male,Police Station Malviya Nagar,60
C00037,28.56068,77.243022,South Delhi,Lajpat Nagar,Ring Road,Theft,2,2024-11-21,21:59:47,Male,Police Station Malviya Nagar,40
C00038,28.521966,77.216426,South Delhi,Saket,Mandir Marg,Theft,2,2025-05-10,08:42:16,Other,Saket Police Station,15
C00039,28.579085,77.235915,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Chain Snatching,3,2025-07-02,10:00:50,Female,Police Station Malviya Nagar,55
C00040,28.544509,77.206626,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2024-11-16,15:24:24,Female,Police Station Malviya Nagar,31
C00041,28.543381,77.19359,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Robbery,4,2025-06-11,23:32:33,Other,Police Station Malviya Nagar,71
C00042,28.520472,77.205014,South Delhi,Saket,Saket District Centre Road,Chain Snatching,3,2025-05-11,13:30:52,Female,Saket Police Station,30
C00043,28.558397,77.25153,South Delhi,Lajpat Nagar,Ring Road,Vehicle Theft,2,2024-08-12,21:04:13,Female,Police Station Malviya Nagar,40
C00044,28.562736,77.23885,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Vehicle Theft,2,2025-04-12,22:14:48,Other,Police Station Malviya Nagar,40
C00045,28.564832,77.2386,South Delhi,Lajpat Nagar,Ring Road,Robbery,4,2024-11-11,16:02:37,Female,Police Station Malviya Nagar,45
C00046,28.519688,77.19053,South Delhi,Saket,Press Enclave Marg,Assault,4,2025-01-16,17:17:49,Female,Delhi Police — Mehrauli,70
C00047,28.572308,77.242311,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Burglary,3,2024-11-27,14:00:12,Other,Police Station Malviya Nagar,30
C00048,28.549177,77.20115,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2025-02-13,11:41:03,Female,Police Station Malviya Nagar,31
C00049,28.54753,77.209179,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2024-10-10,11:10:53,Female,Police Station Malviya Nagar,31
C00050,28.541069,77.203392,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2025-04-20,13:43:55,Male,Police Station Malviya Nagar,31
C00051,28.568406,77.230727,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Vehicle Theft,2,2025-02-01,12:15:46,Male,Police Station Malviya Nagar,15
C00052,28.537456,77.203743,South Delhi,Hauz Khas,Sri Aurobindo Marg,Harassment,2,2025-05-04,18:06:31,Female,Police Station Malviya Nagar,16
C00053,28.558894,77.240723,South Delhi,Lajpat Nagar,Ring Road,Harassment,2,2024-10-23,02:24:37,Female,Police Station Malviya Nagar,55
C00054,28.521992,77.205279,South Delhi,Saket,Press Enclave Marg,Chain Snatching,3,2025-02-11,17:11:11,Female,Saket Police Station,30
C00055,28.536428,77.212,South Delhi,Hauz Khas,Sri Aurobindo Marg,Snatching,3,2025-06-06,11:33:56,Male,Police Station Malviya Nagar,31
C00056,28.569247,77.244492,South Delhi,Lajpat Nagar,Ring Road,Burglary,3,2024-11-01,21:35:44,Male,Police Station Malviya Nagar,55
C00057,28.525036,77.197603,South Delhi,Saket,Mandir Marg,Theft,2,2025-02-12,07:00:15,Male,Police Station Malviya Nagar,15
C00058,28.556286,77.262238,South Delhi,Lajpat Nagar,Ring Road,Vehicle Theft,2,2025-05-31,19:47:16,Female,Police Station Malviya Nagar,75
C00059,28.544908,77.193772,South Delhi,Hauz Khas,Sri Aurobindo Marg,Chain Snatching,3,2025-02-10,12:23:01,Female,Police Station Malviya Nagar,31
C00060,28.546372,77.1995,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Assault,4,2025-03-10,23:59:21,Female,Police Station Malviya Nagar,71
C00061,28.543692,77.222542,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-11-17,20:44:55,Male,Police Station Malviya Nagar,71
C00062,28.564663,77.242177,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Robbery,4,2024-09-25,19:06:38,Female,Police Station Malviya Nagar,70
C00063,28.570217,77.223914,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Robbery,4,2024-12-31,19:12:41,Female,Police Station Malviya Nagar,100
C00064,28.560705,77.267294,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Assault,4,2024-08-21,23:18:15,Male,Police Station Malviya Nagar,85
C00065,28.53206,77.214251,South Delhi,Saket,Press Enclave Marg,Snatching,3,2024-07-21,23:57:05,Male,Police Station Malviya Nagar,70
C00066,28.563569,77.243128,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Harassment,2,2025-05-19,14:05:37,Male,Police Station Malviya Nagar,15
C00067,28.524481,77.198698,South Delhi,Saket,Mandir Marg,Burglary,3,2025-03-12,10:20:59,Female,Police Station Malviya Nagar,45
C00068,28.565247,77.251226,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Burglary,3,2025-05-22,21:18:35,Male,Police Station Malviya Nagar,55
C00069,28.558609,77.240921,South Delhi,Lajpat Nagar,Ring Road,Snatching,3,2025-05-02,23:37:20,Female,Police Station Malviya Nagar,70
C00070,28.524978,77.212677,South Delhi,Saket,Mandir Marg,Assault,4,2025-05-26,22:38:47,Female,Saket Police Station,70
C00071,28.574584,77.237976,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Theft,2,2024-10-07,21:44:37,Female,Police Station Malviya Nagar,40
C00072,28.56102,77.233611,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Snatching,3,2025-03-31,13:33:52,Female,Police Station Malviya Nagar,45
C00073,28.570867,77.245733,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Theft,2,2025-05-29,17:16:15,Male,Police Station Malviya Nagar,15
C00074,28.553903,77.199624,South Delhi,Hauz Khas,August Kranti Marg,Theft,2,2025-05-22,21:19:28,Male,Police Station Malviya Nagar,41
C00075,28.567566,77.240055,South Delhi,Lajpat Nagar,Ring Road,Burglary,3,2024-08-21,21:52:50,Female,Police Station Malviya Nagar,55
C00076,28.540727,77.209732,South Delhi,Hauz Khas,August Kranti Marg,Vehicle Theft,2,2025-02-21,13:34:25,Male,Police Station Malviya Nagar,16
C00077,28.521715,77.202266,South Delhi,Saket,Saket District Centre Road,Robbery,4,2024-08-18,19:29:30,Male,Saket Police Station,70
C00078,28.542759,77.190057,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Vehicle Theft,2,2025-01-24,03:01:57,Male,Police Station Malviya Nagar,56
C00079,28.562,77.23444,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Assault,4,2025-04-21,21:30:09,Male,Police Station Malviya Nagar,70
C00080,28.528649,77.212879,South Delhi,Saket,Press Enclave Marg,Harassment,2,2025-01-31,16:53:26,Female,Saket Police Station,15
C00081,28.557123,77.240894,South Delhi,Lajpat Nagar,Ring Road,Assault,4,2025-05-05,21:32:20,Female,Police Station Malviya Nagar,70
C00082,28.55077,77.21241,South Delhi,Hauz Khas,Sri Aurobindo Marg,Chain Snatching,3,2024-08-11,21:15:54,Female,Police Station Malviya Nagar,56
C00083,28.548612,77.21704,South Delhi,Hauz Khas,Sri Aurobindo Marg,Robbery,4,2025-03-08,20:53:04,Male,Police Station Malviya Nagar,71
C00084,28.52166,77.194786,South Delhi,Saket,Mandir Marg,Harassment,2,2025-05-15,16:24:38,Female,Police Station Malviya Nagar,15
C00085,28.573655,77.249873,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Harassment,2,2025-03-29,03:05:18,Male,Police Station Malviya Nagar,40
C00086,28.541069,77.216282,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Harassment,2,2024-07-19,22:47:04,Female,Police Station Malviya Nagar,41
C00087,28.553265,77.210163,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-10-01,16:51:00,Female,Police Station Malviya Nagar,31
C00088,28.573243,77.238472,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Assault,4,2025-03-05,22:47:58,Male,Police Station Malviya Nagar,70
C00089,28.524264,77.207363,South Delhi,Saket,Mandir Marg,Burglary,3,2025-01-09,16:49:41,Male,Saket Police Station,30
C00090,28.535913,77.196711,South Delhi,Saket,Press Enclave Marg,Harassment,2,2025-01-14,11:49:18,Female,Police Station Malviya Nagar,15
C00091,28.535598,77.208014,South Delhi,Saket,Mandir Marg,Harassment,2,2025-02-08,18:11:22,Female,Police Station Malviya Nagar,15
C00092,28.56315,77.245157,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Chain Snatching,3,2024-11-11,13:26:37,Female,Police Station Malviya Nagar,30
C00093,28.571763,77.237615,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Burglary,3,2024-10-15,00:19:12,Male,Police Station Malviya Nagar,55
C00094,28.547693,77.203576,South Delhi,Hauz Khas,Sri Aurobindo Marg,Snatching,3,2025-05-07,09:55:19,Other,Police Station Malviya Nagar,31
C00095,28.543038,77.209027,South Delhi,Hauz Khas,Sri Aurobindo Marg,Harassment,2,2025-05-18,09:28:49,Female,Police Station Malviya Nagar,16
C00096,28.552235,77.235276,South Delhi,Lajpat Nagar,Ring Road,Snatching,3,2024-09-17,22:50:34,Female,Police Station Malviya Nagar,90
C00097,28.538995,77.196193,South Delhi,Saket,Press Enclave Marg,Snatching,3,2025-04-27,17:42:11,Female,Police Station Malviya Nagar,45
C00098,28.565205,77.252003,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Burglary,3,2025-01-28,08:59:11,Female,Police Station Malviya Nagar,30
C00099,28.558902,77.207576,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-07-23,17:42:25,Female,Police Station Malviya Nagar,46
C00100,28.529223,77.204167,South Delhi,Saket,Mandir Marg,Burglary,3,2025-02-12,20:22:54,Male,Police Station Malviya Nagar,55
C00101,28.569708,77.239768,South Delhi,Lajpat Nagar,Ring Road,Vehicle Theft,2,2025-04-21,22:41:07,Female,Police Station Malviya Nagar,40
C00102,28.582639,77.23431,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Vehicle Theft,2,2024-10-04,10:15:59,Female,Police Station Malviya Nagar,40
C00103,28.525401,77.21658,South Delhi,Saket,Mandir Marg,Snatching,3,2024-10-12,06:01:29,Male,Saket Police Station,45
C00104,28.536073,77.22613,South Delhi,Saket,Saket District Centre Road,Harassment,2,2024-08-02,22:25:30,Female,Saket Police Station,75
C00105,28.517641,77.21916,South Delhi,Saket,Saket District Centre Road,Harassment,2,2025-01-13,18:02:29,Female,Saket Police Station,15
C00106,28.527868,77.203605,South Delhi,Saket,Press Enclave Marg,Theft,2,2025-03-01,21:10:40,Male,Police Station Malviya Nagar,40
C00107,28.543567,77.211524,South Delhi,Hauz Khas,August Kranti Marg,Robbery,4,2024-07-26,04:17:47,Male,Police Station Malviya Nagar,71
C00108,28.566746,77.247525,South Delhi,Lajpat Nagar,Ring Road,Burglary,3,2024-10-09,19:33:52,Other,Police Station Malviya Nagar,55
C00109,28.547413,77.193105,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-07-21,21:24:43,Female,Police Station Malviya Nagar,71
C00110,28.573713,77.238599,South Delhi,Lajpat Nagar,Ring Road,Robbery,4,2025-03-05,01:17:27,Female,Police Station Malviya Nagar,70
C00111,28.566134,77.261223,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Chain Snatching,3,2025-02-03,20:24:03,Male,Police Station Malviya Nagar,90
C00112,28.521737,77.202659,South Delhi,Saket,Mandir Marg,Assault,4,2024-09-07,09:21:55,Male,Saket Police Station,45
C00113,28.568854,77.249033,South Delhi,Lajpat Nagar,Ring Road,Snatching,3,2024-11-25,11:10:39,Male,Police Station Malviya Nagar,30
C00114,28.514837,77.21775,South Delhi,Saket,Mandir Marg,Harassment,2,2025-05-09,19:11:43,Female,Saket Police Station,40
C00115,28.549834,77.21951,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2024-10-21,20:02:28,Female,Police Station Malviya Nagar,71
C00116,28.531283,77.216599,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2025-03-21,06:33:35,Female,Saket Police Station,56
C00117,28.525055,77.206987,South Delhi,Saket,Mandir Marg,Burglary,3,2025-01-29,09:51:46,Male,Saket Police Station,30
C00118,28.579128,77.24915,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Snatching,3,2025-05-21,19:48:13,Female,Police Station Malviya Nagar,55
C00119,28.524255,77.216172,South Delhi,Saket,Mandir Marg,Harassment,2,2024-12-06,09:23:27,Female,Saket Police Station,15
C00120,28.54593,77.19662,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2024-09-29,20:58:10,Male,Police Station Malviya Nagar,56
C00121,28.545962,77.216104,South Delhi,Hauz Khas,August Kranti Marg,Theft,2,2024-11-22,17:47:56,Female,Police Station Malviya Nagar,16
C00122,28.565559,77.254444,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Snatching,3,2024-12-16,08:04:38,Female,Police Station Malviya Nagar,30
C00123,28.551331,77.237348,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Chain Snatching,3,2025-04-21,07:41:30,Female,Police Station Malviya Nagar,30
C00124,28.559009,77.197994,South Delhi,Hauz Khas,Sri Aurobindo Marg,Harassment,2,2025-06-28,23:25:16,Male,Police Station Malviya Nagar,56
C00125,28.528912,77.195364,South Delhi,Saket,Mandir Marg,Chain Snatching,3,2025-05-16,13:47:01,Female,Police Station Malviya Nagar,30
C00126,28.558588,77.208305,South Delhi,Hauz Khas,Sri Aurobindo Marg,Robbery,4,2024-07-11,14:10:27,Male,Police Station Malviya Nagar,46
C00127,28.548766,77.211436,South Delhi,Hauz Khas,August Kranti Marg,Assault,4,2024-10-30,09:03:43,Other,Police Station Malviya Nagar,46
C00128,28.552975,77.209446,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Chain Snatching,3,2024-09-16,17:41:13,Female,Police Station Malviya Nagar,31
C00129,28.557934,77.260835,South Delhi,Lajpat Nagar,Ring Road,Chain Snatching,3,2024-08-01,22:53:01,Female,Police Station Malviya Nagar,90
C00130,28.552827,77.215811,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2025-06-20,06:31:37,Female,Police Station Malviya Nagar,31
C00131,28.544801,77.203742,South Delhi,Hauz Khas,August Kranti Marg,Assault,4,2024-10-05,09:48:21,Male,Police Station Malviya Nagar,46
C00132,28.543136,77.206754,South Delhi,Hauz Khas,Sri Aurobindo Marg,Snatching,3,2024-10-30,19:50:33,Female,Police Station Malviya Nagar,71
C00133,28.560655,77.242486,South Delhi,Lajpat Nagar,Ring Road,Theft,2,2025-04-13,18:51:46,Female,Police Station Malviya Nagar,15
C00134,28.53207,77.203681,South Delhi,Hauz Khas,August Kranti Marg,Vehicle Theft,2,2024-10-25,15:34:15,Female,Police Station Malviya Nagar,31
C00135,28.593161,77.237657,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Vehicle Theft,2,2024-09-18,21:27:31,Female,Police Station Malviya Nagar,75
C00136,28.522879,77.206114,South Delhi,Saket,Saket District Centre Road,Theft,2,2025-07-03,15:49:58,Other,Saket Police Station,15
C00137,28.554864,77.200688,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Burglary,3,2024-07-11,21:15:08,Female,Police Station Malviya Nagar,56
C00138,28.555277,77.211279,South Delhi,Hauz Khas,August Kranti Marg,Snatching,3,2025-03-11,20:51:12,Female,Police Station Malviya Nagar,76
C00139,28.557732,77.231506,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Assault,4,2024-11-14,20:52:34,Female,Police Station Malviya Nagar,85
C00140,28.542571,77.209073,South Delhi,Hauz Khas,August Kranti Marg,Robbery,4,2025-04-06,22:13:10,Male,Police Station Malviya Nagar,71
C00141,28.548287,77.210068,South Delhi,Hauz Khas,August Kranti Marg,Harassment,2,2024-10-13,18:21:01,Other,Police Station Malviya Nagar,16
C00142,28.52341,77.208934,South Delhi,Saket,Press Enclave Marg,Robbery,4,2024-11-05,20:59:50,Other,Saket Police Station,70
C00143,28.538427,77.210412,South Delhi,Hauz Khas,Sri Aurobindo Marg,Assault,4,2024-08-03,00:21:17,Female,Police Station Malviya Nagar,71
C00144,28.567905,77.249937,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Robbery,4,2025-04-29,20:53:15,Female,Police Station Malviya Nagar,70
C00145,28.557339,77.250503,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Chain Snatching,3,2024-08-28,12:01:03,Female,Police Station Malviya Nagar,30
C00146,28.559511,77.231771,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Chain Snatching,3,2024-08-22,00:28:23,Female,Police Station Malviya Nagar,55
C00147,28.567982,77.259618,South Delhi,Lajpat Nagar,Ring Road,Chain Snatching,3,2025-02-20,10:42:05,Female,Police Station Malviya Nagar,45
C00148,28.560217,77.247034,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Assault,4,2024-07-10,20:21:01,Female,Police Station Malviya Nagar,70
C00149,28.530628,77.199612,South Delhi,Saket,Press Enclave Marg,Chain Snatching,3,2024-11-05,13:07:52,Female,Police Station Malviya Nagar,30
C00150,28.563337,77.24079,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Snatching,3,2025-03-15,21:31:09,Male,Police Station Malviya Nagar,55
C00151,28.561805,77.204487,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Assault,4,2025-05-05,07:16:15,Female,Police Station Malviya Nagar,71
C00152,28.514866,77.21397,South Delhi,Saket,Press Enclave Marg,Robbery,4,2025-03-02,10:01:54,Male,Saket Police Station,60
C00153,28.552827,77.203799,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Snatching,3,2024-08-07,21:27:12,Male,Police Station Malviya Nagar,56
C00154,28.576373,77.247085,South Delhi,Lajpat Nagar,Ring Road,Burglary,3,2025-03-21,12:16:56,Male,Police Station Malviya Nagar,40
C00155,28.564811,77.242838,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Robbery,4,2025-03-24,22:24:18,Male,Police Station Malviya Nagar,70
C00156,28.552954,77.253425,South Delhi,Lajpat Nagar,Ring Road,Harassment,2,2024-12-01,15:45:25,Female,Police Station Malviya Nagar,30
C00157,28.570896,77.229964,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Chain Snatching,3,2024-09-19,20:27:40,Female,Police Station Malviya Nagar,75
C00158,28.500861,77.205011,South Delhi,Saket,Mandir Marg,Theft,2,2025-04-28,15:43:58,Male,Saket Police Station,40
C00159,28.541524,77.206497,South Delhi,Hauz Khas,Sri Aurobindo Marg,Assault,4,2024-10-14,05:42:37,Female,Police Station Malviya Nagar,71
C00160,28.554582,77.199828,South Delhi,Hauz Khas,Sri Aurobindo Marg,Theft,2,2024-11-27,11:14:27,Female,Police Station Malviya Nagar,16
C00161,28.538714,77.210121,South Delhi,Hauz Khas,August Kranti Marg,Robbery,4,2025-02-19,20:24:32,Other,Police Station Malviya Nagar,71
C00162,28.508969,77.184857,South Delhi,Saket,Press Enclave Marg,Assault,4,2025-03-04,02:06:09,Male,Delhi Police — Mehrauli,100
C00163,28.523122,77.211511,South Delhi,Saket,Saket District Centre Road,Chain Snatching,3,2025-04-23,14:57:37,Male,Saket Police Station,30
C00164,28.513211,77.205406,South Delhi,Saket,Press Enclave Marg,Harassment,2,2024-12-07,11:45:54,Female,Saket Police Station,15
C00165,28.566126,77.239201,South Delhi,Lajpat Nagar,Ring Road,Assault,4,2025-06-09,19:01:18,Male,Police Station Malviya Nagar,70
C00166,28.518741,77.204912,South Delhi,Saket,Mandir Marg,Theft,2,2025-05-29,20:35:11,Other,Saket Police Station,40
C00167,28.569029,77.238167,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Assault,4,2024-11-29,01:50:11,Male,Police Station Malviya Nagar,70
C00168,28.554625,77.199784,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Theft,2,2024-12-13,21:23:56,Male,Police Station Malviya Nagar,41
C00169,28.532283,77.194996,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Robbery,4,2024-10-18,14:25:32,Male,Police Station Malviya Nagar,61
C00170,28.523794,77.213509,South Delhi,Saket,Saket District Centre Road,Harassment,2,2024-07-26,08:13:04,Female,Saket Police Station,15
C00171,28.564206,77.209005,South Delhi,Hauz Khas,August Kranti Marg,Harassment,2,2025-04-24,17:21:33,Female,Police Station Malviya Nagar,41
C00172,28.564948,77.228735,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Theft,2,2025-05-06,23:22:27,Female,Police Station Malviya Nagar,55
C00173,28.521781,77.197856,South Delhi,Saket,Saket District Centre Road,Burglary,3,2024-08-09,21:39:00,Male,Saket Police Station,55
C00174,28.519368,77.19679,South Delhi,Saket,Mandir Marg,Theft,2,2025-05-21,18:12:51,Female,Saket Police Station,15
C00175,28.522877,77.202567,South Delhi,Saket,Mandir Marg,Assault,4,2024-09-28,19:03:47,Male,Saket Police Station,70
C00176,28.569844,77.253614,South Delhi,Lajpat Nagar,Ring Road,Theft,2,2024-07-29,09:43:09,Male,Police Station Malviya Nagar,15
C00177,28.523424,77.217967,South Delhi,Saket,Press Enclave Marg,Assault,4,2025-02-03,00:15:49,Male,Saket Police Station,90
C00178,28.517862,77.205462,South Delhi,Saket,Press Enclave Marg,Burglary,3,2025-05-24,10:42:18,Female,Saket Police Station,30
C00179,28.547258,77.21133,South Delhi,Hauz Khas,Sri Aurobindo Marg,Snatching,3,2024-12-04,01:53:59,Male,Police Station Malviya Nagar,71
C00180,28.53664,77.216298,South Delhi,Hauz Khas,August Kranti Marg,Burglary,3,2025-05-14,14:49:22,Female,Police Station Malviya Nagar,46
C00181,28.535842,77.210342,South Delhi,Saket,Press Enclave Marg,Robbery,4,2025-05-09,15:14:30,Male,Police Station Malviya Nagar,45
C00182,28.569621,77.245533,South Delhi,Lajpat Nagar,Ring Road,Assault,4,2024-09-05,00:55:09,Other,Police Station Malviya Nagar,70
