cctv_id,latitude,longitude,district,area_name,road_name,camera_status,coverage_radius,installation_date,owner
V00039,28.801339,77.035146,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2024-02-23,Government
V00040,28.665302,77.277089,North-East Delhi,Seelampur,Seelampur Main Road,Active,100,2022-06-12,Government
V00041,28.521811,77.199259,South Delhi,Saket,Mandir Marg,Active,75,2023-01-24,Government
V00042,28.794999,77.030744,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2021-12-23,Private
V00043,28.527006,77.191858,South Delhi,Saket,Press Enclave Marg,Active,50,2021-12-15,Private
V00044,28.70919,77.118223,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,100,2023-12-31,Private
V00045,28.51522,77.203916,South Delhi,Saket,Saket District Centre Road,Active,50,2021-12-14,Government
V00046,28.833636,77.091421,Outer Delhi,Narela,Bawana Road,Active,100,2023-09-09,Government
V00047,28.795543,77.036874,Outer Delhi,Bawana,Bawana Road,Inactive,30,2023-01-27,Government
V00048,28.734107,77.099512,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,15,2024-06-11,Private
V00049,28.728783,77.121066,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,30,2022-04-07,Private
V00050,28.725026,77.116255,Outer Delhi,Rohini,Outer Ring Road,Active,15,2022-05-28,Private
V00051,28.804556,77.034329,Outer Delhi,Bawana,Kanjhawala Road,Active,50,2022-04-28,Government
V00052,28.56947,77.246531,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,100,2024-06-28,Private
V00053,28.72683,77.1056,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Active,30,2022-12-25,Government
V00054,28.524986,77.196641,South Delhi,Saket,Press Enclave Marg,Active,50,2022-10-22,Private
V00055,28.81334,77.048485,Outer Delhi,Bawana,Bawana Road,Active,15,2024-08-31,Government
V00056,28.714753,77.121681,Outer Delhi,Rohini,Outer Ring Road,Active,15,2024-04-06,Private
V00057,28.736559,77.100338,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,15,2022-09-30,Government
V00058,28.582988,77.229356,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,100,2021-10-30,Government
V00059,28.682435,77.259777,North-East Delhi,Seelampur,Pushta Road,Active,30,2024-12-25,Government
V00060,28.787651,77.034821,Outer Delhi,Bawana,Bawana Road,Active,75,2022-01-17,Private
V00061,28.663561,77.265135,North-East Delhi,Seelampur,Seelampur Main Road,Active,75,2021-08-23,Government
V00062,28.803279,77.035621,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2022-02-13,Private
V00063,28.66,77.260289,North-East Delhi,Seelampur,Pushta Road,Active,75,2023-06-11,Government
V00064,28.833585,77.091165,Outer Delhi,Narela,Bawana Road,Active,30,2022-07-11,Government
V00065,28.728538,77.117543,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,75,2021-03-18,Government
V00066,28.799843,77.027892,Outer Delhi,Bawana,Bawana Road,Active,15,2023-02-26,Private
V00067,28.560648,77.242807,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,30,2025-01-09,Private
V00068,28.842509,77.093052,Outer Delhi,Narela,Narela Road,Active,30,2022-12-06,Private
V00069,28.798448,77.036173,Outer Delhi,Bawana,Kanjhawala Road,Active,30,2021-02-20,Government
V00070,28.673021,77.27609,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2024-07-31,Private
V00071,28.715249,77.119173,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Active,15,2024-12-09,Government
V00072,28.66965,77.267038,North-East Delhi,Seelampur,Seelampur Main Road,Active,30,2023-07-04,Private
V00073,28.838769,77.096398,Outer Delhi,Narela,Narela Road,Inactive,15,2021-07-20,Private
V00074,28.693798,77.258743,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,15,2024-11-14,Government
V00075,28.848548,77.089246,Outer Delhi,Narela,Lampur Road,Active,50,2025-01-08,Private
V00076,28.820899,77.027081,Outer Delhi,Bawana,Bawana Road,Active,100,2022-03-20,Government
V00077,28.697995,77.256571,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,100,2025-01-07,Private
V00078,28.675,77.3,North-East Delhi,Shahdara,Grand Trunk Road,Active,100,2024-08-15,Government
V00079,28.801826,77.049761,Outer Delhi,Bawana,Auchandi Road,Active,100,2022-02-09,Private
V00080,28.544033,77.210577,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,75,2022-11-23,Government
V00081,28.675374,77.257027,North-East Delhi,Seelampur,Gautam Puri Road,Active,100,2021-05-07,Government
V00082,28.6991,77.275567,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,100,2025-01-05,Government
V00083,28.673705,77.254627,North-East Delhi,Seelampur,Gautam Puri Road,Inactive,100,2022-12-15,Government
V00084,28.53831,77.226744,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,100,2022-01-26,Private
V00085,28.561778,77.237761,South Delhi,Lajpat Nagar,Ring Road,Active,50,2022-10-04,Private
V00086,28.833724,77.09679,Outer Delhi,Narela,Bawana Road,Active,50,2022-04-19,Government
V00087,28.574493,77.22852,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,30,2022-05-28,Government
V00088,28.703596,77.262444,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,50,2024-05-29,Government
V00089,28.526906,77.208175,South Delhi,Saket,Saket District Centre Road,Active,30,2021-08-22,Private
V00090,28.668099,77.286611,North-East Delhi,Shahdara,Chhajjupur Road,Active,30,2023-12-31,Government
V00091,28.561675,77.227778,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,30,2023-05-11,Government
V00092,28.726905,77.109817,Outer Delhi,Rohini,Outer Ring Road,Active,100,2023-03-17,Private
V00093,28.85,77.098548,Outer Delhi,Narela,Narela Road,Active,50,2021-03-01,Government
V00094,28.526355,77.200451,South Delhi,Saket,Saket District Centre Road,Active,30,2022-04-01,Private
V00095,28.665156,77.290734,North-East Delhi,Shahdara,Chhajjupur Road,Active,50,2022-01-15,Private
V00096,28.848378,77.098753,Outer Delhi,Narela,Narela Road,Active,50,2021-09-15,Government
V00097,28.730352,77.115195,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Active,50,2023-11-23,Private
V00098,28.716262,77.267019,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,50,2021-12-27,Government
V00099,28.703105,77.289028,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,75,2021-08-01,Government
V00100,28.568302,77.251368,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,15,2024-01-30,Government
V00101,28.72687,77.113613,Outer Delhi,Rohini,Outer Ring Road,Active,30,2024-05-27,Government
V00102,28.541172,77.205123,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2022-06-06,Private
V00103,28.723963,77.114066,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,50,2021-11-25,Private
V00104,28.699526,77.269005,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,15,2021-03-24,Government
V00105,28.531506,77.197763,South Delhi,Saket,Press Enclave Marg,Active,50,2021-12-30,Private
V00106,28.663658,77.280459,North-East Delhi,Shahdara,Loni Road,Active,30,2022-05-29,Government
V00107,28.539868,77.211559,South Delhi,Saket,Mandir Marg,Active,100,2022-08-21,Government
V00108,28.67954,77.285077,North-East Delhi,Shahdara,Chhajjupur Road,Active,100,2023-05-23,Private
V00109,28.732044,77.098802,Outer Delhi,Rohini,Outer Ring Road,Active,30,2024-08-31,Private
V00110,28.792607,77.023531,Outer Delhi,Bawana,Kanjhawala Road,Active,30,2022-11-05,Private
V00111,28.520299,77.216689,South Delhi,Saket,Saket District Centre Road,Active,50,2022-08-04,Government
V00112,28.539663,77.203105,South Delhi,Hauz Khas,August Kranti Marg,Active,100,2022-04-28,Government
V00113,28.84562,77.100611,Outer Delhi,Narela,Narela Road,Active,15,2021-11-05,Government
V00114,28.805707,77.039279,Outer Delhi,Bawana,Kanjhawala Road,Active,100,2021-01-15,Government
V00115,28.664445,77.267568,North-East Delhi,Seelampur,Pushta Road,Active,50,2024-03-20,Private
V00116,28.844465,77.09683,Outer Delhi,Narela,Bawana Road,Active,75,2022-12-18,Government
V00117,28.516468,77.209769,South Delhi,Saket,Mandir Marg,Active,15,2024-04-07,Government
V00118,28.718541,77.263488,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,100,2022-09-01,Government
V00119,28.842416,77.084805,Outer Delhi,Narela,Lampur Road,Active,75,2022-10-27,Government
V00120,28.678995,77.272977,North-East Delhi,Seelampur,Pushta Road,Active,30,2021-11-09,Private
V00121,28.679888,77.284558,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2023-05-12,Private
V00122,28.838159,77.095605,Outer Delhi,Narela,Bawana Road,Active,75,2023-05-14,Private
V00123,28.841858,77.079422,Outer Delhi,Narela,Lampur Road,Active,15,2023-03-05,Private
V00124,28.689744,77.280418,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,100,2021-10-25,Government
V00125,28.840689,77.0996,Outer Delhi,Narela,Bawana Road,Active,50,2022-09-26,Government
V00126,28.846062,77.08075,Outer Delhi,Narela,Narela Road,Active,100,2024-05-03,Government
V00127,28.67025,77.284949,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2022-07-26,Private
V00128,28.799312,77.016687,Outer Delhi,Bawana,Auchandi Road,Active,75,2022-01-19,Government
V00129,28.663805,77.276076,North-East Delhi,Seelampur,Seelampur Main Road,Active,50,2024-04-13,Private
V00130,28.666539,77.3,North-East Delhi,Shahdara,Chhajjupur Road,Active,50,2022-10-07,Government
V00131,28.835924,77.092803,Outer Delhi,Narela,Lampur Road,Active,50,2022-06-05,Private
V00132,28.670579,77.281723,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2024-03-09,Private
V00133,28.581007,77.223775,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,30,2024-12-12,Government
V00134,28.685461,77.298462,North-East Delhi,Shahdara,Grand Trunk Road,Active,30,2023-04-06,Government
V00135,28.697654,77.260898,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,50,2025-01-30,Government
V00136,28.547813,77.209244,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2022-11-14,Private
V00137,28.800691,77.034202,Outer Delhi,Bawana,Kanjhawala Road,Active,50,2022-06-18,Government
V00138,28.702968,77.281887,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,100,2024-10-10,Government
V00139,28.540116,77.202401,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,30,2023-03-12,Private
V00140,28.686941,77.287869,North-East Delhi,Shahdara,Grand Trunk Road,Active,50,2024-12-16,Private
V00141,28.802542,77.017918,Outer Delhi,Bawana,Bawana Road,Active,15,2021-02-08,Private
V00142,28.800327,77.023394,Outer Delhi,Bawana,Auchandi Road,Active,75,2021-02-24,Government
V00143,28.53215,77.209027,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,15,2024-09-02,Government
V00144,28.840254,77.095485,Outer Delhi,Narela,Bawana Road,Inactive,50,2022-07-17,Private
V00145,28.832624,77.098628,Outer Delhi,Narela,Bawana Road,Active,30,2023-06-18,Government
V00146,28.680473,77.290969,North-East Delhi,Shahdara,Chhajjupur Road,Active,75,2023-12-27,Government
V00147,28.678977,77.282797,North-East Delhi,Shahdara,Loni Road,Active,15,2023-11-25,Government
V00148,28.572349,77.241262,South Delhi,Lajpat Nagar,Ring Road,Active,50,2023-10-01,Private
V00149,28.727213,77.121201,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,15,2022-07-13,Government
V00150,28.673691,77.287588,North-East Delhi,Shahdara,Grand Trunk Road,Active,50,2023-07-28,Government
V00151,28.820655,77.031796,Outer Delhi,Bawana,Bawana Road,Inactive,75,2021-06-18,Government
V00152,28.703817,77.265571,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,50,2023-08-31,Government
V00153,28.541118,77.218239,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,15,2023-12-16,Government
V00154,28.66,77.273881,North-East Delhi,Seelampur,Gautam Puri Road,Active,100,2023-10-28,Government
V00155,28.54848,77.203153,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,50,2024-02-28,Government
V00156,28.67224,77.288803,North-East Delhi,Shahdara,Chhajjupur Road,Active,15,2024-01-17,Government
V00157,28.671978,77.268911,North-East Delhi,Seelampur,Pushta Road,Active,30,2021-04-04,Government
V00158,28.816576,77.019126,Outer Delhi,Bawana,Bawana Road,Active,100,2023-12-23,Government
V00159,28.528748,77.187658,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2022-11-29,Private
V00160,28.695452,77.266815,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,30,2024-01-06,Government
V00161,28.846334,77.081938,Outer Delhi,Narela,Narela Road,Active,75,2023-02-05,Government
V00162,28.57822,77.247474,South Delhi,Lajpat Nagar,Ring Road,Active,30,2022-01-30,Government
V00163,28.829829,77.090934,Outer Delhi,Narela,Lampur Road,Inactive,15,2022-03-26,Government
V00164,28.691018,77.270245,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,50,2022-10-09,Private
V00165,28.513484,77.204184,South Delhi,Saket,Mandir Marg,Inactive,15,2024-08-03,Private
V00166,28.551876,77.216379,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2022-10-19,Government
V00167,28.822341,77.085185,Outer Delhi,Narela,Narela Road,Active,15,2021-09-30,Private
V00168,28.672519,77.295609,North-East Delhi,Shahdara,Chhajjupur Road,Active,100,2021-11-27,Government
V00169,28.834247,77.081397,Outer Delhi,Narela,Lampur Road,Inactive,30,2022-03-08,Private
V00170,28.663473,77.268344,North-East Delhi,Seelampur,Gautam Puri Road,Inactive,15,2021-12-06,Government
V00171,28.735012,77.115685,Outer Delhi,Rohini,Outer Ring Road,Active,15,2022-03-16,Government
V00172,28.522612,77.201489,South Delhi,Saket,Mandir Marg,Active,100,2021-11-23,Government
V00173,28.733864,77.100144,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Active,30,2023-08-29,Private
V00174,28.562653,77.246291,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,50,2023-07-05,Private
V00175,28.670775,77.278671,North-East Delhi,Shahdara,Loni Road,Active,75,2022-08-09,Government
V00176,28.721606,77.111177,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,15,2022-07-17,Government
V00177,28.547373,77.200585,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,50,2022-04-24,Government
V00178,28.527833,77.200011,South Delhi,Saket,Press Enclave Marg,Active,75,2022-04-29,Private
V00179,28.846776,77.074165,Outer Delhi,Narela,Lampur Road,Active,50,2024-01-12,Government
V00180,28.723676,77.110213,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,50,2022-09-01,Government
V00181,28.841911,77.095577,Outer Delhi,Narela,Bawana Road,Active,50,2023-12-10,Government
V00182,28.697611,77.263821,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,15,2022-07-16,Government
V00183,28.788766,77.024131,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2023-06-26,Private
V00184,28.686764,77.278245,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,100,2024-08-13,Private
V00185,28.668934,77.27832,North-East Delhi,Seelampur,Seelampur Main Road,Active,15,2022-10-17,Government
V00186,28.547215,77.210021,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2025-02-03,Private
V00187,28.849394,77.088293,Outer Delhi,Narela,Lampur Road,Active,50,2023-03-14,Private
V00188,28.684251,77.29094,North-East Delhi,Shahdara,Loni Road,Active,15,2023-09-27,Private
V00189,28.72481,77.106565,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,50,2022-10-14,Private
V00190,28.70633,77.274008,North-East Delhi,Yamuna Vihar,Wazirabad Road,Inactive,50,2025-01-03,Private
V00191,28.716731,77.273482,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,15,2023-08-11,Government
V00192,28.817106,77.037529,Outer Delhi,Bawana,Auchandi Road,Active,50,2023-06-17,Government
V00193,28.805337,77.032146,Outer Delhi,Bawana,Auchandi Road,Active,30,2022-10-15,Government
V00194,28.693925,77.274729,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,50,2023-08-10,Government
V00195,28.66495,77.269125,North-East Delhi,Seelampur,Pushta Road,Active,50,2022-08-11,Private
V00196,28.559699,77.246596,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,15,2023-06-29,Private
V00197,28.799148,77.035312,Outer Delhi,Bawana,Kanjhawala Road,Active,100,2021-04-14,Government
V00198,28.68622,77.268732,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,100,2022-06-14,Private
V00199,28.699655,77.255347,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,100,2021-01-29,Private
V00200,28.568048,77.25195,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,30,2023-07-30,Government
V00201,28.5652,77.231924,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,15,2021-08-05,Government
V00202,28.54011,77.208158,South Delhi,Hauz Khas,August Kranti Marg,Active,15,2023-02-20,Government
V00203,28.668066,77.268903,North-East Delhi,Seelampur,Pushta Road,Active,100,2022-09-05,Government
V00204,28.801511,77.043503,Outer Delhi,Bawana,Auchandi Road,Active,75,2024-09-05,Government
V00205,28.514973,77.202007,South Delhi,Saket,Mandir Marg,Inactive,15,2025-01-15,Government
V00206,28.698329,77.268031,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,100,2021-09-09,Government
V00207,28.545375,77.207997,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,100,2023-12-13,Private
V00208,28.662413,77.269261,North-East Delhi,Seelampur,Gautam Puri Road,Active,15,2022-09-13,Government
V00209,28.516033,77.213337,South Delhi,Saket,Press Enclave Marg,Active,15,2024-03-29,Private
V00210,28.827739,77.0966,Outer Delhi,Narela,Lampur Road,Active,15,2024-11-08,Private
V00211,28.800251,77.027406,Outer Delhi,Bawana,Kanjhawala Road,Active,30,2021-10-22,Government
V00212,28.733805,77.106054,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Active,100,2023-06-25,Government
V00213,28.565798,77.231241,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,15,2023-10-10,Government
V00214,28.663445,77.262291,North-East Delhi,Seelampur,Pushta Road,Active,15,2024-11-24,Private
V00215,28.520358,77.202425,South Delhi,Saket,Saket District Centre Road,Active,100,2021-11-04,Government
V00216,28.668303,77.278269,North-East Delhi,Seelampur,Gautam Puri Road,Active,30,2022-10-23,Government
V00217,28.588085,77.239001,South Delhi,Lajpat Nagar,Ring Road,Active,15,2023-02-09,Government
V00218,28.834158,77.096065,Outer Delhi,Narela,Bawana Road,Active,15,2024-05-17,Government
V00219,28.547423,77.218497,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,100,2021-03-10,Government
V00220,28.501554,77.210899,South Delhi,Saket,Mandir Marg,Active,75,2022-10-10,Government
V00221,28.802656,77.029769,Outer Delhi,Bawana,Kanjhawala Road,Active,30,2022-03-29,Private
V00222,28.796518,77.039503,Outer Delhi,Bawana,Auchandi Road,Active,75,2022-11-15,Private
V00223,28.568066,77.20434,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,30,2021-03-23,Government
V00224,28.534069,77.198322,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,30,2022-08-28,Private
V00225,28.692073,77.271977,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,15,2021-01-11,Government
V00226,28.521587,77.208928,South Delhi,Saket,Mandir Marg,Active,75,2022-01-16,Private
V00227,28.66,77.273235,North-East Delhi,Seelampur,Seelampur Main Road,Active,30,2023-07-03,Government
V00228,28.717124,77.11624,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Active,50,2023-09-26,Private
V00229,28.837352,77.086431,Outer Delhi,Narela,Bawana Road,Active,75,2021-10-14,Government
V00230,28.793142,77.029482,Outer Delhi,Bawana,Kanjhawala Road,Active,15,2023-12-18,Government
V00231,28.689447,77.268001,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,100,2023-01-14,Government
V00232,28.728141,77.110107,Outer Delhi,Rohini,Outer Ring Road,Active,100,2021-05-26,Private
V00233,28.69349,77.252547,North-East Delhi,Yamuna Vihar,Wazirabad Road,Active,30,2024-11-03,Government
V00234,28.674412,77.272093,North-East Delhi,Seelampur,Seelampur Main Road,Active,50,2021-03-06,Government
V00235,28.677287,77.298801,North-East Delhi,Shahdara,Loni Road,Active,15,2024-06-08,Private
V00236,28.839422,77.089622,Outer Delhi,Narela,Lampur Road,Active,100,2023-09-13,Private
V00237,28.682286,77.260456,North-East Delhi,Seelampur,Seelampur Main Road,Active,30,2024-07-08,Private
V00238,28.549602,77.247803,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,100,2024-07-25,Government
V00239,28.666389,77.263458,North-East Delhi,Seelampur,Pushta Road,Active,75,2021-02-15,Private
V00240,28.680241,77.297768,North-East Delhi,Shahdara,Chhajjupur Road,Active,50,2021-08-19,Private
V00241,28.700005,77.288198,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Active,50,2021-11-09,Government
V00242,28.549821,77.218142,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Active,15,2022-02-18,Private
V00243,28.792695,77.034806,Outer Delhi,Bawana,Auchandi Road,Active,75,2021-07-12,Government
V00244,28.668534,77.3,North-East Delhi,Shahdara,Chhajjupur Road,Active,75,2022-11-20,Government
V00245,28.565839,77.242258,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Active,15,2021-09-14,Government
V00246,28.551369,77.191569,South Delhi,Hauz Khas,Sri Aurobindo Marg,Active,100,2023-12-13,Government
V00247,28.530962,77.191531,South Delhi,Saket,Press Enclave Marg,Active,15,2022-11-29,Private
V00248,28.792664,77.024963,Outer Delhi,Bawana,Bawana Road,Active,30,2021-02-12,Private
V00249,28.829506,77.0846,Outer Delhi,Narela,Narela Road,Active,75,2024-02-06,Government
V00250,28.788064,77.028366,Outer Delhi,Bawana,Auchandi Road,Active,15,2021-11-25,Government
V00251,28.536327,77.228596,South Delhi,Saket,Mandir Marg,Inactive,100,2022-07-16,Private
V00252,28.70416,77.262146,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Inactive,30,2024-02-05,Government
V00253,28.841357,77.088971,Outer Delhi,Narela,Bawana Road,Active,15,2024-08-04,Government
V00254,28.702727,77.267567,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Active,75,2025-01-10,Private
V00255,28.574138,77.258481,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,30,2022-11-14,Private
V00256,28.66,77.26919,North-East Delhi,Seelampur,Seelampur Main Road,Active,50,2021-10-18,Private
V00257,28.662111,77.297758,North-East Delhi,Shahdara,Chhajjupur Road,Active,100,2021-10-29,Government
V00258,28.545423,77.197969,South Delhi,Hauz Khas,August Kranti Marg,Active,30,2021-04-13,Government
V00259,28.792808,77.024233,Outer Delhi,Bawana,Kanjhawala Road,Active,75,2021-07-29,Private
V00260,28.662068,77.274872,North-East Delhi,Seelampur,Pushta Road,Active,30,2022-02-14,Government
V00261,28.574545,77.234981,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Active,50,2022-05-27,Government
V00262,28.680015,77.292276,North-East Delhi,Shahdara,Loni Road,Active,75,2024-05-05,Government
V00263,28.581797,77.239764,South Delhi,Lajpat Nagar,Ring Road,Active,15,2024-08-28,Government
V00264,28.795577,77.043555,Outer Delhi,Bawana,Kanjhawala Road,Inactive,15,2021-09-09,Private
