light_id,latitude,longitude,district,area_name,road_name,light_status,brightness_level,installation_date,last_maintenance
L00039,28.716911,77.115219,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,83,2020-07-09,2026-05-13
L00040,28.531497,77.202841,South Delhi,Saket,Press Enclave Marg,Working,100,2021-05-01,2026-06-24
L00041,28.538083,77.206515,South Delhi,Hauz Khas,Sri Aurobindo Marg,Working,93,2023-03-27,2026-02-18
L00042,28.691603,77.257011,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,93,2022-05-25,2026-03-12
L00043,28.683516,77.280324,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,99,2021-06-28,2026-03-25
L00044,28.525881,77.202778,South Delhi,Saket,Mandir Marg,Working,83,2022-12-10,2026-02-23
L00045,28.841059,77.100881,Outer Delhi,Narela,Lampur Road,Working,72,2022-10-19,2026-06-15
L00046,28.696559,77.261402,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,73,2023-07-03,2026-02-17
L00047,28.803302,77.034433,Outer Delhi,Bawana,Kanjhawala Road,Working,84,2022-03-29,2026-01-21
L00048,28.710706,77.278728,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Faulty,15,2022-04-20,2026-03-11
L00049,28.52114,77.186331,South Delhi,Saket,Mandir Marg,Working,77,2022-06-06,2026-02-25
L00050,28.803572,77.021128,Outer Delhi,Bawana,Kanjhawala Road,Working,88,2024-09-24,2026-03-24
L00051,28.544844,77.203645,South Delhi,Hauz Khas,August Kranti Marg,Working,75,2023-03-10,2026-05-19
L00052,28.665252,77.285848,North-East Delhi,Shahdara,Grand Trunk Road,Working,92,2023-08-09,2026-04-09
L00053,28.51944,77.21586,South Delhi,Saket,Mandir Marg,Working,82,2023-02-17,2026-02-12
L00054,28.520378,77.199336,South Delhi,Saket,Saket District Centre Road,Working,88,2023-02-25,2026-07-01
L00055,28.692587,77.279225,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,81,2020-11-07,2026-06-10
L00056,28.672405,77.272404,North-East Delhi,Seelampur,Gautam Puri Road,Working,79,2024-04-13,2026-07-03
L00057,28.687628,77.271359,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,72,2021-06-06,2026-03-22
L00058,28.661236,77.260913,North-East Delhi,Seelampur,Seelampur Main Road,Working,83,2022-12-10,2026-01-23
L00059,28.545593,77.20175,South Delhi,Hauz Khas,August Kranti Marg,Working,97,2021-06-08,2026-03-25
L00060,28.67245,77.256871,North-East Delhi,Seelampur,Pushta Road,Working,94,2020-05-13,2026-03-03
L00061,28.558002,77.239835,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,84,2024-08-08,2026-02-03
L00062,28.550278,77.200296,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Faulty,27,2021-12-20,2026-05-16
L00063,28.733813,77.11466,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,94,2021-08-25,2026-06-19
L00064,28.538321,77.199882,South Delhi,Hauz Khas,August Kranti Marg,Working,70,2020-03-30,2026-06-27
L00065,28.683777,77.285277,North-East Delhi,Shahdara,Grand Trunk Road,Working,87,2021-10-10,2026-01-24
L00066,28.55357,77.238268,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,90,2020-10-08,2026-05-31
L00067,28.549677,77.189776,South Delhi,Hauz Khas,Sri Aurobindo Marg,Working,87,2020-04-12,2026-05-27
L00068,28.694259,77.282484,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,87,2024-05-30,2026-01-24
L00069,28.521677,77.204875,South Delhi,Saket,Mandir Marg,Working,95,2024-05-14,2026-02-16
L00070,28.730381,77.123942,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,88,2020-12-18,2026-04-24
L00071,28.663752,77.269078,North-East Delhi,Seelampur,Gautam Puri Road,Working,97,2021-05-15,2026-07-04
L00072,28.663292,77.283979,North-East Delhi,Seelampur,Pushta Road,Working,82,2021-10-17,2026-05-26
L00073,28.677759,77.297274,North-East Delhi,Shahdara,Grand Trunk Road,Working,81,2020-01-06,2026-03-21
L00074,28.574649,77.245019,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,93,2022-10-19,2026-04-09
L00075,28.848915,77.079144,Outer Delhi,Narela,Narela Road,Working,86,2022-06-05,2026-07-02
L00076,28.668562,77.284812,North-East Delhi,Shahdara,Loni Road,Working,77,2024-09-08,2026-04-10
L00077,28.548316,77.200502,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,91,2021-04-27,2026-06-10
L00078,28.538332,77.200205,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,80,2020-05-08,2026-04-28
L00079,28.569171,77.239032,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,89,2024-01-21,2026-02-11
L00080,28.667361,77.297311,North-East Delhi,Shahdara,Grand Trunk Road,Working,80,2023-01-14,2026-06-28
L00081,28.784146,77.022998,Outer Delhi,Bawana,Kanjhawala Road,Working,92,2024-11-26,2026-05-22
L00082,28.558034,77.250205,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,96,2024-09-17,2026-01-15
L00083,28.576326,77.231022,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,81,2021-01-28,2026-04-11
L00084,28.52189,77.197306,South Delhi,Saket,Mandir Marg,Working,100,2021-03-08,2026-04-23
L00085,28.709595,77.273414,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,91,2021-11-05,2026-07-01
L00086,28.675176,77.289639,North-East Delhi,Shahdara,Loni Road,Working,100,2022-04-05,2026-01-20
L00087,28.66,77.264683,North-East Delhi,Seelampur,Gautam Puri Road,Working,89,2021-11-04,2026-04-20
L00088,28.666307,77.263035,North-East Delhi,Seelampur,Seelampur Main Road,Working,98,2024-06-26,2026-01-29
L00089,28.703911,77.263285,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,83,2023-12-15,2026-06-28
L00090,28.681232,77.254579,North-East Delhi,Seelampur,Gautam Puri Road,Working,76,2020-04-06,2026-02-04
L00091,28.72903,77.111579,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,76,2021-12-11,2026-04-17
L00092,28.677164,77.283773,North-East Delhi,Shahdara,Chhajjupur Road,Working,90,2020-02-07,2026-02-23
L00093,28.705611,77.281263,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,73,2022-10-11,2026-05-19
L00094,28.66546,77.283982,North-East Delhi,Shahdara,Loni Road,Working,74,2024-09-07,2026-04-17
L00095,28.738962,77.118059,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,77,2022-01-25,2026-06-02
L00096,28.66241,77.267504,North-East Delhi,Seelampur,Gautam Puri Road,Working,95,2023-11-14,2026-02-22
L00097,28.66,77.276442,North-East Delhi,Seelampur,Gautam Puri Road,Working,90,2021-05-01,2026-06-04
L00098,28.791068,77.028324,Outer Delhi,Bawana,Bawana Road,Working,86,2023-09-09,2026-01-24
L00099,28.510148,77.219914,South Delhi,Saket,Saket District Centre Road,Faulty,7,2023-04-12,2026-01-20
L00100,28.834505,77.082288,Outer Delhi,Narela,Lampur Road,Working,71,2023-01-03,2026-01-17
L00101,28.570131,77.262013,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,93,2022-03-09,2026-04-07
L00102,28.802317,77.034562,Outer Delhi,Bawana,Auchandi Road,Faulty,26,2024-10-15,2026-05-20
L00103,28.795273,77.027442,Outer Delhi,Bawana,Bawana Road,Working,74,2023-04-16,2026-04-11
L00104,28.800454,77.025829,Outer Delhi,Bawana,Kanjhawala Road,Working,70,2022-03-25,2026-01-29
L00105,28.66,77.246165,North-East Delhi,Seelampur,Seelampur Main Road,Working,97,2020-04-16,2026-02-13
L00106,28.795355,77.037473,Outer Delhi,Bawana,Kanjhawala Road,Working,96,2021-05-01,2026-02-26
L00107,28.699297,77.266868,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,93,2024-07-20,2026-07-04
L00108,28.576413,77.244661,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,72,2024-07-19,2026-07-09
L00109,28.579085,77.241687,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,71,2024-09-15,2026-06-15
L00110,28.80454,77.021271,Outer Delhi,Bawana,Auchandi Road,Working,81,2024-09-15,2026-02-23
L00111,28.790744,77.039887,Outer Delhi,Bawana,Bawana Road,Working,88,2021-02-28,2026-03-22
L00112,28.518983,77.194603,South Delhi,Saket,Mandir Marg,Faulty,27,2021-07-31,2026-06-12
L00113,28.720804,77.120095,Outer Delhi,Rohini,Outer Ring Road,Working,72,2022-07-29,2026-04-30
L00114,28.567451,77.234498,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Faulty,7,2024-01-29,2026-05-02
L00115,28.713988,77.118188,Outer Delhi,Rohini,Outer Ring Road,Faulty,11,2021-05-17,2026-02-24
L00116,28.723995,77.117971,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,72,2020-06-25,2026-02-07
L00117,28.552579,77.241601,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,91,2023-06-04,2026-05-29
L00118,28.725848,77.114074,Outer Delhi,Rohini,Dr KB Hedgewar Marg,Working,100,2023-12-01,2026-03-22
L00119,28.741195,77.112661,Outer Delhi,Rohini,Outer Ring Road,Working,100,2024-03-01,2026-03-27
L00120,28.798076,77.038073,Outer Delhi,Bawana,Auchandi Road,Working,99,2024-06-26,2026-04-02
L00121,28.695031,77.28396,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,86,2023-10-16,2026-02-15
L00122,28.679734,77.294878,North-East Delhi,Shahdara,Loni Road,Working,89,2023-07-10,2026-05-29
L00123,28.723387,77.123724,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,95,2023-04-06,2026-01-31
L00124,28.701424,77.280562,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,92,2020-12-15,2026-04-15
L00125,28.558353,77.245197,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,88,2024-09-04,2026-06-14
L00126,28.66,77.267379,North-East Delhi,Seelampur,Pushta Road,Working,89,2024-01-08,2026-02-18
L00127,28.66002,77.258298,North-East Delhi,Seelampur,Pushta Road,Working,95,2022-09-18,2026-03-15
L00128,28.578475,77.246248,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,80,2020-12-19,2026-03-30
L00129,28.663457,77.292766,North-East Delhi,Shahdara,Chhajjupur Road,Working,92,2024-06-25,2026-05-15
L00130,28.553679,77.24566,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,91,2020-07-14,2026-05-06
L00131,28.561146,77.2287,South Delhi,Lajpat Nagar,Ring Road,Working,98,2021-09-12,2026-03-30
L00132,28.846195,77.098931,Outer Delhi,Narela,Lampur Road,Working,91,2023-01-29,2026-07-04
L00133,28.794223,77.033043,Outer Delhi,Bawana,Kanjhawala Road,Working,83,2023-10-18,2026-07-06
L00134,28.570095,77.237977,South Delhi,Lajpat Nagar,Ring Road,Faulty,10,2020-06-28,2026-05-01
L00135,28.673812,77.3,North-East Delhi,Shahdara,Grand Trunk Road,Working,75,2023-09-20,2026-04-17
L00136,28.556421,77.224185,South Delhi,Hauz Khas,Sri Aurobindo Marg,Working,81,2024-09-12,2026-02-08
L00137,28.566228,77.262806,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,95,2020-05-17,2026-05-24
L00138,28.85,77.092137,Outer Delhi,Narela,Bawana Road,Working,86,2021-12-12,2026-02-22
L00139,28.722747,77.107005,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,93,2024-02-21,2026-05-15
L00140,28.529817,77.203234,South Delhi,Saket,Mandir Marg,Working,71,2022-05-13,2026-03-30
L00141,28.698942,77.276827,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,94,2020-08-05,2026-04-16
L00142,28.718493,77.111173,Outer Delhi,Rohini,Outer Ring Road,Working,82,2022-06-20,2026-03-17
L00143,28.665135,77.277727,North-East Delhi,Seelampur,Gautam Puri Road,Working,96,2021-06-04,2026-02-08
L00144,28.51681,77.217672,South Delhi,Saket,Mandir Marg,Working,82,2023-01-13,2026-03-24
L00145,28.565251,77.235684,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,97,2024-04-25,2026-02-04
L00146,28.525062,77.205411,South Delhi,Saket,Saket District Centre Road,Working,95,2021-10-18,2026-01-24
L00147,28.676259,77.254984,North-East Delhi,Seelampur,Seelampur Main Road,Working,94,2021-09-03,2026-04-10
L00148,28.538896,77.210109,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,100,2024-01-10,2026-06-09
L00149,28.830748,77.08325,Outer Delhi,Narela,Lampur Road,Working,95,2020-09-24,2026-05-04
L00150,28.559076,77.243467,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,99,2023-06-12,2026-03-06
L00151,28.849234,77.095017,Outer Delhi,Narela,Bawana Road,Working,92,2020-08-09,2026-06-27
L00152,28.519815,77.200858,South Delhi,Saket,Saket District Centre Road,Working,85,2020-10-22,2026-01-26
L00153,28.828147,77.105164,Outer Delhi,Narela,Bawana Road,Working,79,2022-06-23,2026-03-10
L00154,28.671872,77.264011,North-East Delhi,Seelampur,Pushta Road,Working,94,2021-01-28,2026-06-09
L00155,28.662309,77.290704,North-East Delhi,Shahdara,Grand Trunk Road,Working,100,2024-05-01,2026-04-25
L00156,28.677461,77.291866,North-East Delhi,Shahdara,Chhajjupur Road,Working,81,2021-12-20,2026-06-22
L00157,28.784049,77.025753,Outer Delhi,Bawana,Kanjhawala Road,Faulty,10,2024-06-05,2026-05-29
L00158,28.68944,77.268003,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,77,2022-01-26,2026-03-31
L00159,28.566158,77.251527,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,84,2020-11-17,2026-03-29
L00160,28.66,77.27222,North-East Delhi,Seelampur,Seelampur Main Road,Working,87,2022-01-13,2026-03-14
L00161,28.66,77.252125,North-East Delhi,Seelampur,Seelampur Main Road,Working,96,2023-06-01,2026-07-03
L00162,28.726417,77.111863,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,72,2024-09-25,2026-02-24
L00163,28.834834,77.091921,Outer Delhi,Narela,Lampur Road,Working,71,2024-02-06,2026-05-26
L00164,28.664057,77.272144,North-East Delhi,Seelampur,Seelampur Main Road,Faulty,30,2021-06-11,2026-05-21
L00165,28.564533,77.250943,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,84,2021-01-07,2026-04-09
L00166,28.66556,77.270803,North-East Delhi,Seelampur,Pushta Road,Working,86,2024-11-24,2026-02-07
L00167,28.566245,77.250762,South Delhi,Lajpat Nagar,Ring Road,Working,99,2021-09-13,2026-03-11
L00168,28.541129,77.209851,South Delhi,Saket,Press Enclave Marg,Working,91,2022-10-14,2026-01-16
L00169,28.52483,77.214357,South Delhi,Saket,Press Enclave Marg,Working,80,2024-09-10,2026-05-13
L00170,28.532227,77.205354,South Delhi,Hauz Khas,August Kranti Marg,Working,78,2021-07-27,2026-06-30
L00171,28.566823,77.243571,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,95,2022-10-06,2026-04-28
L00172,28.668138,77.274672,North-East Delhi,Seelampur,Gautam Puri Road,Working,74,2023-01-24,2026-02-03
L00173,28.792709,77.034399,Outer Delhi,Bawana,Kanjhawala Road,Working,92,2023-12-30,2026-04-06
L00174,28.668666,77.3,North-East Delhi,Shahdara,Grand Trunk Road,Working,89,2020-04-18,2026-03-07
L00175,28.568968,77.251621,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,85,2022-03-29,2026-01-20
L00176,28.528761,77.203299,South Delhi,Saket,Press Enclave Marg,Working,76,2024-01-11,2026-06-07
L00177,28.701938,77.288562,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,89,2022-03-20,2026-06-27
L00178,28.66,77.263631,North-East Delhi,Seelampur,Gautam Puri Road,Working,87,2020-02-22,2026-04-23
L00179,28.525188,77.206028,South Delhi,Saket,Saket District Centre Road,Working,85,2023-12-02,2026-04-01
L00180,28.841403,77.105115,Outer Delhi,Narela,Narela Road,Working,91,2023-10-14,2026-04-02
L00181,28.789116,77.034219,Outer Delhi,Bawana,Kanjhawala Road,Working,82,2023-04-05,2026-05-01
L00182,28.550046,77.214439,South Delhi,Hauz Khas,Sri Aurobindo Marg,Working,88,2021-12-12,2026-04-16
L00183,28.809455,77.037236,Outer Delhi,Bawana,Bawana Road,Working,92,2022-11-29,2026-02-01
L00184,28.789256,77.041715,Outer Delhi,Bawana,Auchandi Road,Working,81,2023-05-31,2026-05-21
L00185,28.660323,77.258742,North-East Delhi,Seelampur,Seelampur Main Road,Working,95,2024-06-03,2026-07-06
L00186,28.66,77.286858,North-East Delhi,Seelampur,Gautam Puri Road,Working,95,2024-01-05,2026-05-17
L00187,28.525834,77.206617,South Delhi,Saket,Mandir Marg,Working,84,2021-10-23,2026-04-18
L00188,28.577154,77.240852,South Delhi,Lajpat Nagar,Ring Road,Working,95,2021-04-22,2026-02-18
L00189,28.835602,77.097564,Outer Delhi,Narela,Bawana Road,Working,81,2021-07-24,2026-01-19
L00190,28.66,77.263936,North-East Delhi,Seelampur,Gautam Puri Road,Working,89,2023-04-02,2026-07-09
L00191,28.707306,77.280711,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,93,2020-06-09,2026-05-23
L00192,28.688921,77.3,North-East Delhi,Shahdara,Grand Trunk Road,Working,80,2022-12-30,2026-05-21
L00193,28.568101,77.246803,South Delhi,Lajpat Nagar,Ring Road,Working,99,2020-07-08,2026-03-13
L00194,28.710164,77.269842,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Faulty,20,2020-11-17,2026-07-10
L00195,28.695282,77.26197,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,84,2022-12-18,2026-02-20
L00196,28.663813,77.291765,North-East Delhi,Shahdara,Grand Trunk Road,Working,84,2023-08-24,2026-07-06
L00197,28.663833,77.275418,North-East Delhi,Seelampur,Gautam Puri Road,Working,98,2020-06-17,2026-01-25
L00198,28.711793,77.267721,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,87,2020-12-27,2026-01-25
L00199,28.822757,77.097512,Outer Delhi,Narela,Lampur Road,Working,92,2023-06-09,2026-04-28
L00200,28.526311,77.203876,South Delhi,Saket,Press Enclave Marg,Working,88,2021-06-13,2026-05-23
L00201,28.670973,77.289078,North-East Delhi,Shahdara,Grand Trunk Road,Working,97,2022-06-04,2026-01-11
L00202,28.668326,77.268912,North-East Delhi,Seelampur,Pushta Road,Working,72,2020-07-19,2026-05-02
L00203,28.563645,77.20576,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,83,2020-02-15,2026-01-17
L00204,28.679591,77.268771,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,78,2024-03-28,2026-03-27
L00205,28.807558,77.035001,Outer Delhi,Bawana,Auchandi Road,Working,97,2023-10-02,2026-06-25
L00206,28.799906,77.012636,Outer Delhi,Bawana,Bawana Road,Working,84,2024-02-23,2026-04-13
L00207,28.539847,77.229291,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,85,2024-01-02,2026-05-24
L00208,28.663629,77.276763,North-East Delhi,Seelampur,Pushta Road,Working,91,2024-11-01,2026-01-26
L00209,28.663667,77.266513,North-East Delhi,Seelampur,Gautam Puri Road,Working,88,2022-12-12,2026-05-19
L00210,28.69654,77.26507,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,94,2021-03-25,2026-03-22
L00211,28.804087,77.046318,Outer Delhi,Bawana,Auchandi Road,Working,92,2022-10-30,2026-06-02
L00212,28.669843,77.284959,North-East Delhi,Shahdara,Grand Trunk Road,Working,71,2024-05-20,2026-01-28
L00213,28.557489,77.257149,South Delhi,Lajpat Nagar,Feroze Gandhi Road,Working,82,2022-08-29,2026-01-19
L00214,28.537115,77.205197,South Delhi,Saket,Mandir Marg,Working,94,2024-01-29,2026-03-24
L00215,28.680614,77.295363,North-East Delhi,Shahdara,Grand Trunk Road,Faulty,16,2024-09-26,2026-07-01
L00216,28.557112,77.203134,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,96,2024-03-02,2026-07-01
L00217,28.784717,77.029347,Outer Delhi,Bawana,Bawana Road,Working,93,2020-01-08,2026-02-22
L00218,28.570359,77.248795,South Delhi,Lajpat Nagar,Ring Road,Working,76,2022-05-29,2026-06-25
L00219,28.804759,77.041046,Outer Delhi,Bawana,Auchandi Road,Working,85,2024-10-01,2026-01-17
L00220,28.726025,77.104368,Outer Delhi,Rohini,Outer Ring Road,Working,75,2023-04-05,2026-04-13
L00221,28.523882,77.20968,South Delhi,Saket,Press Enclave Marg,Working,95,2024-10-20,2026-03-20
L00222,28.848776,77.087296,Outer Delhi,Narela,Bawana Road,Working,86,2021-02-06,2026-06-09
L00223,28.544713,77.201385,South Delhi,Hauz Khas,August Kranti Marg,Working,77,2023-05-30,2026-03-08
L00224,28.805554,77.039848,Outer Delhi,Bawana,Auchandi Road,Working,96,2020-04-03,2026-07-09
L00225,28.732312,77.120734,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,82,2024-08-19,2026-05-03
L00226,28.700341,77.278766,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,90,2023-10-13,2026-02-25
L00227,28.706226,77.263957,North-East Delhi,Yamuna Vihar,Mangal Pandey Marg,Working,86,2024-07-09,2026-03-09
L00228,28.70181,77.256191,North-East Delhi,Yamuna Vihar,Bhajanpura Main Road,Working,91,2024-07-23,2026-07-08
L00229,28.724302,77.104686,Outer Delhi,Rohini,Bhagwan Mahavir Marg,Working,70,2020-02-11,2026-06-20
L00230,28.55972,77.241352,South Delhi,Lajpat Nagar,Veer Savarkar Marg,Working,75,2020-08-28,2026-01-31
L00231,28.539624,77.205579,South Delhi,Hauz Khas,August Kranti Marg,Working,94,2024-03-08,2026-03-30
L00232,28.547664,77.210827,South Delhi,Hauz Khas,Chaudhary Dilip Singh Marg,Working,90,2024-04-28,2026-04-17
L00233,28.683877,77.260896,North-East Delhi,Yamuna Vihar,Wazirabad Road,Working,83,2022-03-26,2026-02-19
L00234,28.677678,77.282891,North-East Delhi,Shahdara,Chhajjupur Road,Working,91,2020-08-02,2026-02-27
L00235,28.551677,77.199388,South Delhi,Hauz Khas,August Kranti Marg,Working,98,2020-04-06,2026-05-29
L00236,28.523616,77.207199,South Delhi,Saket,Saket District Centre Road,Working,95,2020-03-05,2026-03-08
L00237,28.78747,77.04175,Outer Delhi,Bawana,Bawana Road,Working,88,2020-12-30,2026-07-02
L00238,28.802653,77.028353,Outer Delhi,Bawana,Auchandi Road,Working,71,2021-04-03,2026-01-28
L00239,28.666466,77.286522,North-East Delhi,Shahdara,Chhajjupur Road,Working,87,2020-06-16,2026-03-27
L00240,28.678231,77.292384,North-East Delhi,Shahdara,Loni Road,Working,75,2020-05-30,2026-03-26
L00241,28.56441,77.197954,South Delhi,Hauz Khas,Sri Aurobindo Marg,Faulty,3,2022-10-01,2026-06-15
L00242,28.79378,77.027335,Outer Delhi,Bawana,Bawana Road,Working,79,2021-02-27,2026-05-11
L00243,28.678207,77.294257,North-East Delhi,Shahdara,Grand Trunk Road,Working,84,2020-02-29,2026-04-03
L00244,28.788034,77.023648,Outer Delhi,Bawana,Auchandi Road,Working,93,2023-09-05,2026-03-30
